Dataset,Method,Seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_D1,Method 1,2428,0.15960100077593978,0.320316670094027,0.31495544558225014,0.38513194075538404,0.32031667009402703,0.08090274987702888
10x_human_lymph_node_D1,Method 1,999,0.16178263562052903,0.3282423184000415,0.3229492526163202,0.395161801548066,0.3282423184000414,0.08293130659576374
10x_human_lymph_node_D1,Method 1,1187,0.1587314423082513,0.3273565822235109,0.32205795740246157,0.39421294607162655,0.3273565822235109,0.0838282057001172
10x_human_lymph_node_D1,Method 1,42,0.15848192235919792,0.31998456572602046,0.31462032220414227,0.3847194307596386,0.31998456572602046,0.07876760607088275
10x_human_lymph_node_D1,Method 1,3999,0.15574193874821243,0.3221930733099948,0.31685489595706884,0.3880927661975313,0.3221930733099948,0.08039125664896427
10x_human_lymph_node_D1,Method 2,13,0.16618912320821186,0.3311665217345625,0.3258900583509366,0.39807491216991575,0.33116652173456257,0.057292363629221035
10x_human_lymph_node_D1,Method 2,2560,0.16267673446769618,0.33039267102097847,0.32511017637063566,0.39712289356979175,0.33039267102097847,0.05748860138052823
10x_human_lymph_node_D1,Method 2,641,0.1585804930032538,0.32532429633994553,0.3200023648393679,0.39105646051617154,0.3253242963399455,0.0554587322930277
10x_human_lymph_node_D1,Method 2,1892,0.17096058148524285,0.32541532975211307,0.3200718833024954,0.38953065388206937,0.325415329752113,0.05271035808448826
10x_human_lymph_node_D1,Method 2,1173,0.16118430474041076,0.3224212169398005,0.31707652005283077,0.3876201486684806,0.32242121693980047,0.05270902288034559
10x_human_lymph_node_D1,Method 2,69,0.16194781199336028,0.3231432354357541,0.317798665572532,0.3880231616318138,0.3231432354357541,0.055047264006621854
10x_human_lymph_node_D1,Method 2,2024,0.1659315057415205,0.3322802096816125,0.3270142584031358,0.399556359960776,0.33228020968161254,0.057423903612185544
10x_human_lymph_node_D1,Method 2,231,0.1653342790694923,0.33119302609652124,0.3259158118310346,0.39800775949914136,0.33119302609652124,0.05773984957797171
10x_human_lymph_node_D1,Method 2,1971,0.17757960113413943,0.32900107147751356,0.32368138451870737,0.39336371784634855,0.32900107147751356,0.0483198955804562
10x_human_lymph_node_D1,Method 2,2497,0.16540403379019483,0.3301028541396113,0.3248186807685074,0.3968599645152526,0.33010285413961127,0.058115892202616586
10x_human_lymph_node_D1,Method 2,338,0.16619542031781226,0.3282306130789828,0.3229250696668553,0.39405059291835665,0.3282306130789828,0.051189200735417606
10x_human_lymph_node_D1,Method 2,3127,0.1671241268278011,0.328131144998569,0.32282536347794205,0.3940275694855223,0.32813114499856894,0.05283662486561055
10x_human_lymph_node_D1,Method 2,2001,0.16150472708230468,0.3272553195668505,0.3219477157687019,0.39334341386454913,0.3272553195668505,0.054562293758789876
10x_human_lymph_node_D1,Method 2,2022,0.15414227790997936,0.3224135786356608,0.31707389128695285,0.3879761666845715,0.3224135786356608,0.05624653393043825
10x_human_lymph_node_D1,Method 2,574,0.16370149754461788,0.3306715829077628,0.32539244500971726,0.3975428684673168,0.3306715829077628,0.056786188373780015
10x_human_lymph_node_D1,Method 2,2428,0.17312311492878016,0.3282952239028711,0.32298246708654227,0.3935290038497463,0.3282952239028711,0.053467197246912804
10x_human_lymph_node_D1,Method 2,999,0.15818028167908574,0.32665153349817594,0.3213450708576285,0.39306278492463737,0.32665153349817594,0.05646863946041635
10x_human_lymph_node_D1,Method 2,1187,0.1599112506174522,0.3279353535253832,0.3226337861553829,0.3942247266147219,0.3279353535253833,0.05919078748923847
10x_human_lymph_node_D1,Method 2,42,0.16429751750282504,0.3310926476083192,0.3258180087154301,0.39815818621512555,0.3310926476083192,0.055901481042234503
10x_human_lymph_node_D1,Method 2,3999,0.16453047821692546,0.32935279238885756,0.32406294663159285,0.3959592615426236,0.3293527923888576,0.058643573284065866
10x_human_lymph_node_D1,Method 3,13,0.15403616640374737,0.31067438250342916,0.30517465448491593,0.368772255092644,0.31067438250342916,0.001982013888697422
10x_human_lymph_node_D1,Method 3,2560,0.14364189884096218,0.30848575326076616,0.30297166612579823,0.36495333637683464,0.30848575326076616,0.0029339724318582414
10x_human_lymph_node_D1,Method 3,641,0.13862910687277788,0.30058482187741686,0.2950548763837268,0.3603534147413002,0.3005848218774169,0.0026757607109443725
10x_human_lymph_node_D1,Method 3,1892,0.14884319087554077,0.29760317525178026,0.29200748890434075,0.35380122268694536,0.29760317525178026,0.003761595303276743
10x_human_lymph_node_D1,Method 3,1173,0.13245460529070274,0.29642804789543126,0.2908619249214509,0.35526227233665186,0.29642804789543137,0.004186557873654248
10x_human_lymph_node_D1,Method 3,69,0.1352143334748288,0.29632814552586473,0.2907437007348412,0.35306991503383905,0.29632814552586473,0.0005908038155463662
10x_human_lymph_node_D1,Method 3,2024,0.14433073612827607,0.30798318385092077,0.30250843988851966,0.3687497158583653,0.30798318385092077,0.002165230752071721
10x_human_lymph_node_D1,Method 3,231,0.14156688405925125,0.3012182439482113,0.2956898029945608,0.3609559651086256,0.3012182439482113,0.003937632499241228
10x_human_lymph_node_D1,Method 3,1971,0.1577518160827963,0.30390039675611785,0.2983575896117756,0.3616921935430322,0.30390039675611796,0.003230098528059335
10x_human_lymph_node_D1,Method 3,2497,0.13254711512898704,0.3002080607965842,0.29468036891735466,0.3601612807292375,0.3002080607965842,0.002086238031553175
10x_human_lymph_node_D1,Method 3,338,0.14197388552555862,0.3069808282118456,0.3014965644475473,0.36769672033937817,0.30698082821184564,0.0029200881304722614
10x_human_lymph_node_D1,Method 3,3127,0.15428469494700545,0.29994265982666624,0.2943611901717393,0.35623463678059686,0.29994265982666624,0.003771048840465983
10x_human_lymph_node_D1,Method 3,2001,0.1373387597266424,0.29288503896698276,0.2872927081136281,0.3509901628323177,0.29288503896698276,0.004163217466629792
10x_human_lymph_node_D1,Method 3,2022,0.134061284444102,0.29618548899069685,0.2906145350711389,0.35451970076342093,0.2961854889906968,0.002679443427207494
10x_human_lymph_node_D1,Method 3,574,0.14712873415915168,0.29920304089663297,0.2936353482335936,0.35601985401896563,0.29920304089663297,0.00043398321848275607
10x_human_lymph_node_D1,Method 3,2428,0.13789552969339317,0.2909202424339668,0.2853041540229366,0.3479677176161114,0.2909202424339668,0.0034435409315134047
10x_human_lymph_node_D1,Method 3,999,0.14160108073326957,0.29893772973941884,0.29338550850635525,0.3574719430096607,0.2989377297394188,0.003030359706140856
10x_human_lymph_node_D1,Method 3,1187,0.15585314362727684,0.31541860715862075,0.3099952985584668,0.37722804946591393,0.3154186071586207,0.0037568259454132447
10x_human_lymph_node_D1,Method 3,42,0.12978431865530202,0.29122646085872345,0.2856208519619547,0.34915869154318135,0.29122646085872345,0.003677630513030527
10x_human_lymph_node_D1,Method 3,3999,0.12004697124219059,0.27987531688344214,0.2741689151955635,0.3342628320772545,0.27987531688344214,0.002997323295353491
Mouse_Brain_E11_S1,Method 1,13,0.3393654912235217,0.471649484498686,0.4657642387341658,0.5579137402743911,0.471649484498686,0.11869472197307426
Mouse_Brain_E11_S1,Method 1,2560,0.3383324265336496,0.47477349368366956,0.46896440286173435,0.5678814578228063,0.47477349368366956,0.12109645813979603
Mouse_Brain_E11_S1,Method 1,641,0.3419782664390922,0.4769811925273611,0.4711506737716555,0.563695111988603,0.47698119252736104,0.125280765447904
