Dataset,Method,Seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E11_S1,Method 2,999,0.3729975982229533,0.46497671154386083,0.4589247965045145,0.5354121630033214,0.46497671154386083,0.08604776533249474
Mouse_Brain_E11_S1,Method 2,1187,0.3955358223773838,0.4772837195389114,0.47133398804336024,0.5448721807966745,0.47728371953891147,0.09860855958619444
Mouse_Brain_E11_S1,Method 2,42,0.3930879228775461,0.46785939162410883,0.4618067995558636,0.535309738397767,0.4678593916241089,0.07200050932293248
Mouse_Brain_E11_S1,Method 2,3999,0.40134534903316293,0.4979300915203843,0.49215491276786005,0.56115125280911,0.49793009152038425,0.08976688807213999
Mouse_Brain_E11_S1,Method 3,13,0.29032161513661653,0.4273587107821895,0.42152404710726676,0.4760591887065203,0.4273587107821895,0.00919699280531462
Mouse_Brain_E11_S1,Method 3,2560,0.4360385953338035,0.5222520757157303,0.5171164402183386,0.5441434805664505,0.5222520757157303,0.011996845752046055
Mouse_Brain_E11_S1,Method 3,641,0.5908068890439396,0.5626160394732985,0.5580845335369596,0.5234298765631612,0.5626160394732985,-0.009296544528231138
Mouse_Brain_E11_S1,Method 3,1892,0.5235344898176879,0.5561688594374639,0.5517523187121163,0.5747507886647101,0.5561688594374637,0.013403205105178695
Mouse_Brain_E11_S1,Method 3,1173,0.4622730036176524,0.5406593649307063,0.5357427669955533,0.575149501303608,0.5406593649307065,0.004395583188221307
Mouse_Brain_E11_S1,Method 3,69,0.49510900652062934,0.5552009713471986,0.5504481434120957,0.5774595638788618,0.5552009713471986,0.010311538655604694
Mouse_Brain_E11_S1,Method 3,2024,0.5386315194232386,0.555487352505682,0.5505545208170581,0.5938545266930478,0.5554873525056822,0.01646344930973315
Mouse_Brain_E11_S1,Method 3,231,0.5081735631647633,0.5432248904499483,0.5383855929356817,0.569528034087221,0.5432248904499482,0.012408409229980499
Mouse_Brain_E11_S1,Method 3,1971,0.47738077707435433,0.4765321481529797,0.4706733404885344,0.4865042086060763,0.4765321481529796,0.01412263799434736
Mouse_Brain_E11_S1,Method 3,2497,0.45702443993542385,0.534551940342021,0.5297498818146064,0.5849950739201609,0.534551940342021,0.01596755915059242
Mouse_Brain_E11_S1,Method 3,338,0.4673535513051268,0.5092063037569319,0.5036712330982611,0.5388476915397662,0.5092063037569319,0.018153932597090278
Mouse_Brain_E11_S1,Method 3,3127,0.5195575810460945,0.5394241737355655,0.5347075216048772,0.553343674260299,0.5394241737355655,0.011514641021346273
Mouse_Brain_E11_S1,Method 3,2001,0.5948564713115898,0.5673718928595222,0.562333248325159,0.5480332998188411,0.5673718928595222,0.001343310103594378
Mouse_Brain_E11_S1,Method 3,2022,0.5983954357178315,0.5800682749445633,0.5757180512491953,0.5450168986893574,0.5800682749445634,0.00901177248584899
Mouse_Brain_E11_S1,Method 3,574,0.5567613780753373,0.5855244175898233,0.5811403369276618,0.6376053628800229,0.5855244175898232,0.004398720224195543
Mouse_Brain_E11_S1,Method 3,2428,0.5265546794805877,0.5557831639230109,0.5512103924904457,0.5657728918201296,0.555783163923011,0.006860356729364054
Mouse_Brain_E11_S1,Method 3,999,0.453129177320709,0.4665295070457686,0.4606667298510006,0.4893226997885637,0.4665295070457686,0.013867465632133267
Mouse_Brain_E11_S1,Method 3,1187,0.4776544167796062,0.5204163487712847,0.5150804616933751,0.5753498083834145,0.5204163487712848,0.014689904194551844
Mouse_Brain_E11_S1,Method 3,42,0.5243486459844251,0.5403053568540963,0.5354266597921479,0.5637604386358352,0.5403053568540964,0.010358494903879292
Mouse_Brain_E11_S1,Method 3,3999,0.45109115431470287,0.515244396415578,0.5096502612844841,0.5524441427226224,0.5152443964155781,0.015662117180589664
Mouse_Brain_E13_S1,Method 1,13,0.09770938104218754,0.25480779745631565,0.24252810846984962,0.31046655454185246,0.2548077974563157,0.024683292364550087
